label,precision,recall,f1,support
0,0.95,0.95,0.95,44
1,0.91,0.87,0.89,46
2,0.97,0.95,0.96,39
3,0.98,0.90,0.94,51
4,0.98,1.00,0.99,40
5,0.87,0.98,0.92,42
6,0.90,0.93,0.91,28
7,0.98,0.96,0.97,46
8,0.91,0.94,0.93,33
9,1.00,0.94,0.97,36
10,0.95,0.98,0.96,41
11,1.00,1.00,1.00,37
12,0.97,0.97,0.97,33
13,0.85,0.93,0.89,44
14,1.00,1.00,1.00,35
15,0.92,1.00,0.96,35
16,0.93,0.96,0.94,26
17,0.98,1.00,0.99,41
18,0.92,0.89,0.90,37
19,0.93,0.95,0.94,41
20,0.92,0.88,0.90,41
21,0.92,0.92,0.92,26
22,0.92,0.89,0.90,37
23,0.96,1.00,0.98,45
24,0.96,1.00,0.98,26
25,0.95,0.93,0.94,43
26,0.92,1.00,0.96,48
27,0.93,0.79,0.85,33
28,0.76,0.85,0.80,33
29,0.84,0.95,0.89,40
30,0.93,0.76,0.83,49
31,1.00,0.89,0.94,36
32,0.92,0.92,0.92,38
33,0.84,0.82,0.83,39
34,0.79,0.86,0.82,35
35,0.82,0.70,0.76,40
36,0.94,0.97,0.95,32
37,0.78,0.78,0.78,37
38,0.91,0.89,0.90,45
39,0.95,0.95,0.95,39
40,0.95,0.90,0.92,40
41,0.85,0.87,0.86,45
42,0.88,0.81,0.84,36
43,0.75,0.82,0.78,44
44,0.88,0.94,0.91,31
45,0.75,0.84,0.79,32
46,0.97,1.00,0.99,37
47,0.90,0.81,0.85,43
48,0.92,0.96,0.94,24
49,0.96,0.96,0.96,46
50,0.87,0.85,0.86,46
51,1.00,1.00,1.00,37
52,0.97,0.89,0.93,36
53,0.85,0.85,0.85,41
54,0.98,0.94,0.96,47
55,0.97,1.00,0.99,33
56,0.86,0.97,0.91,32
57,0.94,0.91,0.93,35
58,0.94,1.00,0.97,31
59,0.77,0.71,0.74,42
60,0.94,0.91,0.93,34
61,0.79,0.86,0.82,35
62,1.00,0.97,0.98,31
63,0.82,0.85,0.84,39
64,0.92,0.94,0.93,49
65,0.94,0.97,0.96,35
66,1.00,1.00,1.00,39
67,0.94,0.89,0.92,38
68,0.91,0.97,0.94,40
69,0.89,0.85,0.87,40
70,0.91,0.89,0.90,44
71,0.88,0.88,0.88,32
72,0.93,0.90,0.92,31
73,0.82,0.89,0.85,35
74,0.94,0.97,0.95,32
75,0.93,0.97,0.95,39
76,0.76,0.64,0.69,39
