epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,best_macro_f1
001,3.8403,2.9782,0.0681,0.1791,0.1791
005,1.2948,1.1647,0.6150,0.6666,0.6666
010,0.8225,0.7322,0.7488,0.8014,0.8014
015,0.6649,0.7017,0.7914,0.7986,0.8138
020,0.5609,0.5893,0.8233,0.8447,0.8473
025,0.5006,0.5373,0.8447,0.8565,0.8565
030,0.4499,0.5017,0.8615,0.8758,0.8758
035,0.3560,0.4592,0.8967,0.8889,0.8889
040,0.3193,0.4552,0.9096,0.8937,0.8976
045,0.2722,0.4414,0.9296,0.8991,0.8991
050,0.2590,0.4396,0.9332,0.8993,0.9020
055,0.2419,0.4303,0.9402,0.9040,0.9067
060,0.2283,0.4231,0.9491,0.9073,0.9073
065,0.2200,0.4227,0.9533,0.9078,0.9078
070,0.2203,0.4199,0.9521,0.9073,0.9104
075,0.2181,0.4206,0.9531,0.9061,0.9104
080,0.2179,0.4195,0.9527,0.9063,0.9104
085,0.2166,0.4212,0.9546,0.9072,0.9104
090,0.2140,0.4205,0.9551,0.9073,0.9104
095,0.2147,0.4206,0.9560,0.9072,0.9104
100,0.2160,0.4204,0.9513,0.9073,0.9104
105,0.2136,0.4204,0.9549,0.9069,0.9104
110,0.2128,0.4204,0.9557,0.9069,0.9104
115,0.2126,0.4204,0.9552,0.9069,0.9104
120,0.2141,0.4204,0.9542,0.9069,0.9104
